Performance Statistics   2018-06-10 22:20:00 - 2018-06-10 22:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
skillguard$Role.browse#load                             48,0          48          48         0,0           1
skillguard$Role.browse#ready                             0,0           0           0         0,0           1
skillguard$Role.browse#uiPermissions                     0,0           0           0         0,0           1
skillguard$Role.browse#xml                              13,0          13          13         0,0           1
skillguard$Role.browse@rolesDs                          11,0          11          11         0,0           1
windowActions#xml                                        0,8           0           2         0,8           4

Performance Statistics   2018-06-10 22:38:00 - 2018-06-10 22:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
skillguard$CertificateType.browse#init                   0,0           0           0         0,0           2
skillguard$CertificateType.browse#inject                 1,0           0           2         1,0           2
skillguard$CertificateType.browse#load                  35,0          15          55        20,0           2
skillguard$CertificateType.browse#ready                  0,0           0           0         0,0           2
skillguard$CertificateType.browse#uiPermissions          0,0           0           0         0,0           2
skillguard$CertificateType.browse#xml                    5,5           2           9         3,5           2
skillguard$CertificateType.browse@certificateTypesDs        16,0          13          19         3,0           2
skillguard$RoleCertificateType.browse#init               0,0           0           0         0,0           1
skillguard$RoleCertificateType.browse#inject             2,0           2           2         0,0           1
skillguard$RoleCertificateType.browse#load              38,0          38          38         0,0           1
skillguard$RoleCertificateType.browse#ready              0,0           0           0         0,0           1
skillguard$RoleCertificateType.browse#uiPermissions         0,0           0           0         0,0           1
skillguard$RoleCertificateType.browse#xml                7,0           7           7         0,0           1
skillguard$RoleCertificateType.browse@roleCertificateTypesDs        12,0          12          12         0,0           1

Performance Statistics   2018-06-10 22:40:00 - 2018-06-10 22:42:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                         0,0           0           0         0,0           2
loginWindow#inject                                       0,5           0           1         0,5           2
loginWindow#load                                         8,0           5          11         3,0           2
loginWindow#ready                                        0,0           0           0         0,0           2
loginWindow#uiPermissions                                0,0           0           0         0,0           2
loginWindow#xml                                          1,0           0           2         1,0           2

Performance Statistics   2018-06-10 22:42:00 - 2018-06-10 22:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2018-06-10 22:44:00 - 2018-06-10 22:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2018-06-10 22:48:00 - 2018-06-10 22:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#init                                        32,0          32          32         0,0           1
loginWindow#inject                                      28,0          28          28         0,0           1
loginWindow#load                                       512,0         512         512         0,0           1
loginWindow#ready                                        0,0           0           0         0,0           1
loginWindow#uiPermissions                                1,0           1           1         0,0           1
loginWindow#xml                                         16,0          16          16         0,0           1
mainWindow#init                                         34,0          34          34         0,0           1
mainWindow#inject                                       18,0          18          18         0,0           1
mainWindow#load                                        346,0         346         346         0,0           1
mainWindow#ready                                         7,0           7           7         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           5,0           5           5         0,0           1
skillguard$Employee.browse#init                         11,0          11          11         0,0           1
skillguard$Employee.browse#inject                        5,0           5           5         0,0           1
skillguard$Employee.browse#load                       1221,0        1221        1221         0,0           1
skillguard$Employee.browse#ready                         0,0           0           0         0,0           1
skillguard$Employee.browse#uiPermissions                 0,0           0           0         0,0           1
skillguard$Employee.browse#xml                          11,0          11          11         0,0           1
skillguard$Employee.browse@departmentsDs                40,5          18          63        22,5           2
skillguard$Employee.browse@employeesDs                 227,5          26         429       201,5           2

